ident;type;name;continent;iso_country;iso_region;municipality
EPLU;small_airport;Lubin Airport;EU;PL;PL-DS;
EPLX;heliport;Lierneux / Centre Hospitalier Spécial l'Accueil Heliport;EU;BE;BE-WLG;Lierneux
EPLY;medium_airport;Leczyca Military Air Base;EU;PL;PL-LD;Leczyca
EPMB;medium_airport;Malbork Military Air Base;EU;PL;PL-PM;
EPMI;medium_airport;Miroslawiec Military Air Base;EU;PL;PL-ZP;Mirosławiec
EPMJ;closed;Mikołajki Airport;EU;PL;PL-WN;Mikołajki
EPML;small_airport;Mielec Airport;EU;PL;PL-PK;
EPMM;medium_airport;Minsk Mazowiecki Military Air Base;EU;PL;PL-MZ;
EPMO;large_airport;Modlin Airport;EU;PL;PL-MZ;Warsaw
EPMR;small_airport;Mirosławice Private Airport;EU;PL;PL-DS;Sobótka
EPMX;small_airport;Milewo;EU;PL;PL-MZ;Milewo
EPMY;small_airport;Myślibórz-Giżyn Airfield;EU;PL;PL-ZP;Myślibórz
EPNA;small_airport;Nadarzyce Air Base;EU;PL;PL-WP;
EPNL;small_airport;Nowy Sącz-Łososina Dolna Airport;EU;PL;PL-MA;Nowy Sącz
EPNM;small_airport;Nowe Miasto nad Pilica Airfield;EU;PL;PL-MZ;Nowe Miasto nad Pilicą
EPNT;small_airport;Nowy Targ Airport;EU;PL;PL-MA;Nowy Targ
EPOD;small_airport;Lotnisko Olsztyn-Dajtki;EU;PL;PL-WN;Olsztyn
EPOK;medium_airport;Oksywie Military Air Base;EU;PL;PL-PM;Gdynia
EPOM;small_airport;Ostrów Wielkopolski Michałków Airport;EU;PL;PL-WP;Ostrów Wielkopolski
EPOP;small_airport;Opole-Polska Nowa Wieś Airport;EU;PL;PL-OP;Opole
EPPC;small_airport;Pińczów Airport;EU;PL;PL-SK;Pińczów
EPPI;small_airport;Pila Airport;EU;PL;PL-WP;
EPPK;small_airport;Poznań-Kobylnica Airport;EU;PL;PL-WP;Poznań
EPPL;small_airport;Plock Airport;EU;PL;PL-MZ;
EPPO;large_airport;Poznań-Ławica Airport;EU;PL;PL-WP;Poznań
EPPR;small_airport;Pruszcz Gdanski Air Base;EU;PL;PL-PM;
EPPT;small_airport;Piotrków Trybunalski-Bujny Airport;EU;PL;PL-LD;Piotrków Trybunalski
EPPW;medium_airport;Powidz Military Air Base;EU;PL;PL-WP;
EPRA;medium_airport;Radom Airport;EU;PL;PL-MZ;Radom
EPRG;small_airport;Rybnik-Gotarowice Glider Airport;EU;PL;PL-SL;Rybnik
EPRJ;small_airport;Rzeszów Airport;EU;PL;PL-PK;Rzeszów
EPRP;small_airport;Radom-Piastrów Glider Field;EU;PL;PL-MZ;Radom
EPRS;small_airport;Sochaczew-Rybno;EU;PL;PL-MZ;Rybno
EPRZ;medium_airport;Rzeszów-Jasionka Airport;EU;PL;PL-PK;Rzeszów
EPSC;large_airport;Szczecin-Goleniów Solidarność Airport;EU;PL;PL-ZP;Goleniow
EPSD;small_airport;Szczecin-Dąbie Airport;EU;PL;PL-ZP;Szczecin
EPSJ;small_airport;Sobienie Field;EU;PL;PL-MZ;
EPSK;closed;Redzikowo Air Base;EU;PL;PL-PM;
EPSN;medium_airport;Swidwin Military Air Base;EU;PL;PL-ZP;
EPSO;small_airport;Sochaczew Air Base;EU;PL;PL-MZ;
EPSR;small_airport;Słupsk-Krȩpa Airfield;EU;PL;PL-PM;Słupsk
EPSS;small_airport;Świdnica - Krzczonów Airstrip;EU;PL;PL-DS;
EPST;small_airport;Stalowa Wola-Turbia Airport;EU;PL;PL-PK;Stalowa Wola
EPSU;small_airport;Suwałki Airport;EU;PL;PL-PD;Suwałki
EPSW;small_airport;Świdnik Airfield;EU;PL;PL-LU;Lublin
EPSY;medium_airport;Olsztyn-Mazury Airport;EU;PL;PL-WN;Olsztyn
EPTM;medium_airport;Tomaszow Mazowiecki Military Air Base;EU;PL;PL-LD;Tomaszów Mazowiecki
EPTO;small_airport;Torun Airport (Aeroklub Pomorski);EU;PL;PL-KP;Toruń
EPWA;large_airport;Warsaw Chopin Airport;EU;PL;PL-MZ;Warsaw
EPWK;small_airport;Włocławek-Kruszyn Airport;EU;PL;PL-KP;Włocławek
EPWR;large_airport;Copernicus Wrocław Airport;EU;PL;PL-DS;Wrocław
EPWS;small_airport;Wrocław-Szymanów Airport;EU;PL;PL-DS;Wrocław
EPZA;small_airport;Zamość-Mokre Airport;EU;PL;PL-LU;Zamość
EPZB;small_airport;Zborowo;EU;PL;PL-WP;
EPZG;medium_airport;Zielona Góra-Babimost Airport;EU;PL;PL-LB;Babimost
EPZK;small_airport;Konopnica;EU;PL;PL-LD;Konopnica
EPZN;closed;Zagan Air Base;EU;PL;PL-LB;Zagan
EPZP;small_airport;Zielona Góra-Przylep Airport;EU;PL;PL-LB;Zielona Góra
EPZR;small_airport;Żar Airfield;EU;PL;PL-SL;Międzybrodzie  Żywieckie
ER-0001;small_airport;Dahlak South Airfield;AF;ER;ER-SK;Dahlak Kebir
ER-0002;small_airport;Dahlak Central Airfield;AF;ER;ER-SK;Dhu Bellu
ER-0003;small_airport;Dahlak West Airfield;AF;ER;ER-SK;Melill
ERO;heliport;Eldred Rock Cg Heliport;NA;US;US-AK;Eldred Rock
ERT;small_airport;Erdenet Airport;AS;MN;MN-035;Erdenet
ES-0001;small_airport;Trebujena Airfield;EU;ES;ES-AN;Trebujena
ES-0002;small_airport;Vinaròs Airfield;EU;ES;ES-CS;Vinaròs
ES-0003;heliport;Banco de España Helipad;EU;ES;ES-M;Madrid
ES-0004;heliport;Huerta Otea Helipad;EU;ES;ES-SA;Salamanca
ES-0005;heliport;Salamanca Fire Station Helipad;EU;ES;ES-SA;Salamanca
ES-0006;small_airport;Rosinos de la Requejada Airport;EU;ES;ES-ZA;Santiago de la Requejada
ES-0007;small_airport;Torremocha de Jiloca Airport;EU;ES;ES-TE;Torremocha de Jiloca
ES-0008;small_airport;Herrera de Pisuerga Airport;EU;ES;ES-P;Herrera de Pisuerga
ES-0009;small_airport;Villoldo Airport;EU;ES;ES-P;Villoldo
ES-0010;small_airport;Xinzo de Limia Airport;EU;ES;ES-OR;Xinzo de Limia
ES-0011;small_airport;Chaira Airport;EU;ES;ES-OR;Baños de Molgas
ES-0012;small_airport;Castriz/Cambe Airfield;EU;ES;ES-C;Santa Comba
ES-0013;small_airport;Godos Airport;EU;ES;ES-PO;Caldas de Reis
ES-0014;small_airport;Monforte Airport;EU;ES;ES-OR;Monforte de Lemos
ES-0015;small_airport;Pozo Cañada Airfield;EU;ES;ES-AB;Pozo Cañada
ES-0016;small_airport;Club Aernautic Catalunya;EU;ES;ES-B;
ES-0017;small_airport;Aeroclub Cáceres;EU;ES;ES-EX;La Cervera
ES-0018;small_airport;AeroSidonia;EU;ES;ES-AN;
ES-0019;small_airport;Campo de Aviación de Ablitas;EU;ES;ES-NA;
ES-0020;small_airport;Aeròdrom de Pals;EU;ES;ES-CT;
ES-0021;small_airport;Aeròdrom d'Avinyonet;EU;ES;ES-CT;Avinyó Nou
ES-0022;small_airport;ULM de Dolores;EU;ES;ES-A;
ES-0023;heliport;Basa Aérea de Valencia-Bétera;EU;ES;ES-V;Bétera
ES-0024;small_airport;Ultralight Aeroclub Müller;EU;ES;ES-AN;Vera
ES-0025;small_airport;Aerodromo de Figueira dos Cavaleiros;EU;PT;PT-02;Ferreira do Alentejo
ES-0026;small_airport;Camp de Vol de Palafolls;EU;ES;ES-GE;
ES-0027;small_airport;Aerodromo El Judio;EU;ES;ES-AN;
